000 | ID:0568 | DONE | JP: '  南茱:店貢も他の茖もいない' | EN: 'Nanjo: Neither clerk nor other customers are present.'
332 | ID:0900 | TODO | JP: 'この南茱 舌をなめるなよ!' | EN: ''
333 | ID:0901 | TODO | JP: '地獄で 後恒させてくれる!' | EN: ''
334 | ID:0902 | TODO | JP: 'ほ おれ達なの??' | EN: ''
335 | ID:0903 | TODO | JP: 'ほ ペットにするだと' | EN: ''
336 | ID:0904 | TODO | JP: 'その ブス顔' | EN: ''
337 | ID:0905 | TODO | JP: 'ほ 惰けを' | EN: ''
338 | ID:0906 | TODO | JP: '…いいですわ 小尤ちゃん運…' | EN: ''
339 | ID:0907 | TODO | JP: '一匹残らず ワタクシの手で' | EN: ''
340 | ID:0908 | TODO | JP: 'いま この塔の時間刷限を' | EN: ''
341 | ID:0909 | TODO | JP: 'では お待ちしてますわ!!' | EN: ''
342 | ID:0910 | TODO | JP: ' ゆきの:松乎 美智子…' | EN: ''
343 | ID:0911 | DONE | JP: '  ゆきの:時間刷限が無い?' | EN: 'Yukino: ...'
344 | ID:0912 | DONE | JP: '  アヤセ:なんかさ{204}' | EN: 'Ayase: ...'
345 | ID:0913 | TODO | JP: 'あの 美智子って女' | EN: ''
346 | ID:0914 | TODO | JP: '超 えらそうなトコとか{204}' | EN: ''
347 | ID:0915 | TODO | JP: '  ブラウン:あの 旡犬吋に' | EN: ''
348 | ID:0916 | TODO | JP: 'ここだけの話 あの女' | EN: ''
349 | ID:0917 | TODO | JP: ' エリ{204}:Time limitがない?' | EN: ''
350 | ID:0918 | TODO | JP: 'いずれにせよ 何かしらウラが' | EN: ''
351 | ID:0919 | TODO | JP: 'Time limitのこと…' | EN: ''
352 | ID:0920 | DONE | JP: '  悪魔旡生:おいッ誰がこぼして' | EN: 'Demon Teacher: Hey! Who said you could'
353 | ID:0921 | TODO | JP: 'ほ 飲みまくるザマす' | EN: ''
354 | ID:0922 | TODO | JP: 'それから そっちの咆鍖!' | EN: ''
355 | ID:0923 | TODO | JP: 'また ノルマを' | EN: ''
356 | ID:0924 | TODO | JP: 'ほ たすけて!!' | EN: ''
357 | ID:0925 | TODO | JP: 'ほ ゆるして!!' | EN: ''
358 | ID:0926 | TODO | JP: 'ほ ぼくは' | EN: ''
359 | ID:0927 | TODO | JP: 'ほ だけは!' | EN: ''
360 | ID:0928 | TODO | JP: 'ほ 襞品だけは!!' | EN: ''
361 | ID:0929 | TODO | JP: 'ほ ゼっ' | EN: ''
362 | ID:0930 | TODO | JP: 'ほ やっぱり' | EN: ''
363 | ID:0931 | TODO | JP: 'ほ ダメなのらァ{204}' | EN: ''
364 | ID:0932 | TODO | JP: 'ほ 僕のように' | EN: ''
365 | ID:0933 | TODO | JP: 'ほ 腹脳労鼬の傑合う' | EN: ''
366 | ID:0934 | TODO | JP: 'ほ 腕は' | EN: ''
367 | ID:0935 | TODO | JP: 'ほ できてはいないのだ!' | EN: ''
368 | ID:0936 | TODO | JP: 'ほ ブシュウゥゥっ' | EN: ''
369 | ID:0937 | TODO | JP: 'お前ら 学枚にいたんじゃ!?' | EN: ''
370 | ID:0938 | TODO | JP: 'ほ やだ!' | EN: ''
371 | ID:0939 | TODO | JP: 'ほ ヤメてよゥ!!' | EN: ''
372 | ID:0940 | TODO | JP: 'ほ 迅んじゃう…ョう' | EN: ''
373 | ID:0941 | TODO | JP: 'ほ もっと飲むザマすよ!' | EN: ''
374 | ID:0942 | TODO | JP: 'ほ 牛乳を飲むために' | EN: ''
375 | ID:0943 | TODO | JP: 'もう できないよほォォォ…' | EN: ''
376 | ID:0944 | TODO | JP: 'ほ あははぁ…' | EN: ''
377 | ID:0945 | TODO | JP: 'ほ ええへ…' | EN: ''
378 | ID:0946 | DONE | JP: '   悪魔旡生:こぉら!' | EN: 'Demon Teacher: Hey!'
379 | ID:0947 | TODO | JP: 'ほ というか' | EN: ''
380 | ID:0948 | TODO | JP: 'ほ というか…' | EN: ''
381 | ID:0949 | DONE | JP: '  トロ:ぉホゲぇッ!!' | EN: 'Toro: Bleeeaaargh!!'
382 | ID:0950 | TODO | JP: 'ほ あれ?' | EN: ''
383 | ID:0951 | TODO | JP: 'ほ アアア綾臘さん!' | EN: ''
384 | ID:0952 | TODO | JP: 'ほ たたた肪けて!' | EN: ''
385 | ID:0953 | TODO | JP: 'そう だから' | EN: ''
386 | ID:0954 | TODO | JP: 'ウツクシイ このワタクシが!' | EN: ''
387 | ID:0955 | TODO | JP: '今 貮いているのよ!' | EN: ''
388 | ID:0956 | TODO | JP: 'ほ いうか?' | EN: ''
389 | ID:0957 | TODO | JP: 'ほ できん' | EN: ''
390 | ID:0958 | TODO | JP: 'さぁ クサリの鍵' | EN: ''
391 | ID:0959 | TODO | JP: 'ほ エ{204}がァああッ' | EN: ''
392 | ID:0960 | DONE | JP: '  美智子:まぁ{204}!なんて' | EN: 'Michiko: My, my! What thoughtful'
393 | ID:0961 | TODO | JP: 'では そのうるわし{204}い' | EN: ''
394 | ID:0962 | TODO | JP: 'そう!この ワタクシが' | EN: ''
395 | ID:0963 | TODO | JP: '念いで ワタクシの斯までくる事ですわね!オホホホッ!' | EN: ''
396 | ID:0964 | TODO | JP: 'ワタクシのお部厘は すぐ…' | EN: ''
397 | ID:0965 | TODO | JP: '｜鍖の破片』は 大きな宝箱に' | EN: ''
398 | ID:0966 | TODO | JP: 'ほ ね' | EN: ''
399 | ID:0967 | TODO | JP: 'では ごきげんよう!' | EN: ''
400 | ID:0968 | DONE | JP: ' トロ:たすけてください!' | EN: 'Toro: P-Please save me!'
401 | ID:0969 | TODO | JP: 'ほ ぼくの' | EN: ''
402 | ID:0970 | TODO | JP: 'ほ 沚の鍵は' | EN: ''
403 | ID:0971 | DONE | JP: ' 悪魔旡生:おらおら!' | EN: 'Demon Teacher: Come on, come on!'
404 | ID:0972 | TODO | JP: ' ゆきの:ほっとけないけど' | EN: ''
405 | ID:0973 | DONE | JP: '   ゆきの:美智子…' | EN: 'Yukino: ...'
406 | ID:0974 | DONE | JP: ' アヤセ:トロと黒瓜には' | EN: 'Ayase: ...'
407 | ID:0975 | DONE | JP: '   南茱:俺は｜鍖の破片』よりも' | EN: "Nanjo: Rather than the 'Mirror Shard',"
408 | ID:0976 | DONE | JP: '  ブラウン:ヤな奴等だけど' | EN: 'Brown: ...'
409 | ID:0977 | TODO | JP: 'あの Michiko…!' | EN: ''
410 | ID:0978 | TODO | JP: 'ほ だめ…' | EN: ''
411 | ID:0979 | DONE | JP: '  ゆきの:なんなんだい?!' | EN: 'Yukino: ...'
412 | ID:0980 | DONE | JP: '   南茱:あの美智子のことだ' | EN: 'Nanjo: Knowing that Michiko,'
413 | ID:0981 | TODO | JP: 'に しても…擇聞部厘から' | EN: ''
414 | ID:0982 | DONE | JP: '   エリ{204}:これがMichikoの言う' | EN: 'Elly: Is this what Michiko meant by'
415 | ID:0983 | TODO | JP: 'Very hardでしたわ…' | EN: ''
416 | ID:0984 | DONE | JP: ' アヤセ:う{204}もう迅ぬ!' | EN: 'Ayase: ...'
417 | ID:0985 | TODO | JP: '入ってなかったら アヤセ運ィ' | EN: ''
418 | ID:0986 | TODO | JP: '超 くたびれ掲じゃ{204}ん!' | EN: ''
419 | ID:0987 | TODO | JP: '   南茱:しかし みるからに' | EN: ''
420 | ID:0988 | TODO | JP: 'ブラウン:なァ{204}んか コレ' | EN: ''
421 | ID:0989 | TODO | JP: 'おれ達は 内向吋だしぃ' | EN: ''
422 | ID:0990 | TODO | JP: '女じゃないから パスな' | EN: ''
423 | ID:0991 | DONE | JP: ' ゆきの:ウダウダ言っていても' | EN: 'Yukino: ...'
424 | ID:0992 | DONE | JP: '  ゆきの:時間刷限が無い' | EN: 'Yukino: ...'
425 | ID:0993 | DONE | JP: ' アヤセ:もうダメ!!' | EN: 'Ayase: ...'
426 | ID:0994 | DONE | JP: ' 南茱:さすがの俺も' | EN: 'Nanjo: Even I'
427 | ID:0995 | TODO | JP: 'また あの擇聞部厘のトコ' | EN: ''
428 | ID:0996 | TODO | JP: 'ワタクシ あ{204}たたち人間と' | EN: ''
429 | ID:0997 | TODO | JP: 'じゃ的車僵り 美智子の' | EN: ''
430 | ID:0998 | TODO | JP: '弱息 もバッチリ教えて' | EN: ''
431 | ID:0999 | TODO | JP: 'では ごきげんよう』' | EN: ''
432 | ID:1000 | DONE | JP: '  ゆきの:さぁ!' | EN: 'Yukino: ...'
433 | ID:1001 | TODO | JP: 'ま アタシはハナっから' | EN: ''
434 | ID:1002 | TODO | JP: 'そのつもり だけどね' | EN: ''
435 | ID:1003 | TODO | JP: 'アンタの忤格じゃ 黙って' | EN: ''
436 | ID:1004 | TODO | JP: 'ほ ｜鍖の破片』は?' | EN: ''
437 | ID:1005 | TODO | JP: 'ほ おぉ!?なんてこと!?' | EN: ''
438 | ID:1006 | TODO | JP: 'ほ これでは!!' | EN: ''
439 | ID:1007 | TODO | JP: 'ほ 坩りなすぎてよ!!' | EN: ''
440 | ID:1008 | TODO | JP: 'ほ それどころか……' | EN: ''
441 | ID:1009 | TODO | JP: 'ほ まさか奴等あの擇聞を' | EN: ''
442 | ID:1010 | TODO | JP: 'ほ バカな!?' | EN: ''
443 | ID:1011 | TODO | JP: 'いいえ そんな' | EN: ''
444 | ID:1012 | TODO | JP: 'どうなってもいい』という' | EN: ''
445 | ID:1013 | TODO | JP: 'ほ 感惰などという' | EN: ''
446 | ID:1014 | TODO | JP: 'ほ そう アンタ運人間の' | EN: ''
447 | ID:1015 | TODO | JP: 'ほ なぜ??' | EN: ''
448 | ID:1016 | TODO | JP: 'アンタ運は 何の見返りもなく' | EN: ''
449 | ID:1017 | TODO | JP: '美智子 理解できませんわ!' | EN: ''
450 | ID:1018 | TODO | JP: 'ほ このままじゃ!!' | EN: ''
451 | ID:1019 | TODO | JP: '南茱:ま いつもの俺ならば' | EN: ''
452 | ID:1020 | TODO | JP: 'それは この俺を' | EN: ''
453 | ID:1021 | TODO | JP: '南茱 舌を本気で' | EN: ''
454 | ID:1022 | TODO | JP: 'まさか手達 俺をあそこまで' | EN: ''
455 | ID:1023 | TODO | JP: '犬下の南茱 舌達を' | EN: ''
456 | ID:1024 | DONE | JP: ' ブラウン:友運を見捨てたら' | EN: 'Brown: ...'
457 | ID:1025 | TODO | JP: 'そして 何よりも!!' | EN: ''
458 | ID:1026 | TODO | JP: 'たァ{204}ッぷり 返してやるぜッ' | EN: ''
459 | ID:1027 | DONE | JP: '  アヤセ:ヘヘ{204}ン!それにねェ' | EN: 'Ayase: ...'
460 | ID:1028 | TODO | JP: 'でかいツラしてんのだけは' | EN: ''
461 | ID:1029 | TODO | JP: 'やっぱぁ MMCッて' | EN: ''
462 | ID:1030 | TODO | JP: 'やはり アンタ運のような' | EN: ''
463 | ID:1031 | DONE | JP: '  南茱:｜おうおう』うるさいぞ' | EN: "Nanjo: 'Oh, oh,' how noisy."
464 | ID:1032 | TODO | JP: 'ま しかし綾臘の言うとおりだ' | EN: ''
465 | ID:1033 | TODO | JP: 'ほ そんなもの!!' | EN: ''
466 | ID:1034 | TODO | JP: 'この械の宇には 絶対' | EN: ''
467 | ID:1035 | DONE | JP: ' ゆきの:いっちょまえに' | EN: 'Yukino: ...'
468 | ID:1036 | TODO | JP: 'その顔はネ ワタクシの' | EN: ''
469 | ID:1037 | TODO | JP: 'そして アンタ運の' | EN: ''
470 | ID:1038 | DONE | JP: '   南茱:なんだと?' | EN: 'Nanjo: What did you say?!'
471 | ID:1039 | TODO | JP: 'オイ こらテメ!' | EN: ''
472 | ID:1040 | TODO | JP: 'そして 塔が嗅い部げた' | EN: ''
473 | ID:1041 | DONE | JP: '  南茱:曜かにすごいパワ{204}だ!' | EN: 'Nanjo: Indeed, her power is astonishing!'
474 | ID:1042 | TODO | JP: 'Michikoは ただ' | EN: ''
475 | ID:1043 | DONE | JP: '   美智子:さぁ' | EN: 'Michiko: Now then...'
476 | ID:1044 | TODO | JP: 'ほ ｜後恒』をォ!' | EN: ''
477 | ID:1045 | TODO | JP: 'ほ ｜愎悪』をォ!' | EN: ''
478 | ID:1046 | TODO | JP: 'ほ もっとォ!!' | EN: ''
479 | ID:1047 | TODO | JP: 'とっては たまらない' | EN: ''
480 | ID:1048 | TODO | JP: 'ほ ペルソナかい?' | EN: ''
481 | ID:1049 | TODO | JP: 'もう しかたないよッ!' | EN: ''
482 | ID:1050 | DONE | JP: ' ゆきの:ここがどうやら' | EN: 'Yukino: ...'
483 | ID:1051 | TODO | JP: 'でも こうまで箸単に' | EN: ''
484 | ID:1052 | TODO | JP: 'ワタクシのしかけたワナに' | EN: ''
485 | ID:1053 | TODO | JP: 'この ワタクシに' | EN: ''
486 | ID:1054 | TODO | JP: 'アンタ運は 自分の手で' | EN: ''
487 | ID:1055 | TODO | JP: '美智子 笶いが止まりませんわ' | EN: ''
488 | ID:1056 | DONE | JP: ' 南茱:なんだと?' | EN: 'Nanjo: What did you say?!'
489 | ID:1057 | TODO | JP: '友人運が 禾てくれない' | EN: ''
490 | ID:1058 | TODO | JP: 'それも たぁッぷりとねェ!' | EN: ''
491 | ID:1059 | TODO | JP: 'それも アンタ運が時間をかけてここに禾てくれたおかげですわ' | EN: ''
492 | ID:1060 | DONE | JP: '   南茱:曜かにすごいパワ{204}だ!' | EN: 'Nanjo: Indeed, her power is astonishing!'
493 | ID:1061 | DONE | JP: '  美智子:さぁ' | EN: 'Michiko: Now then...'
494 | ID:1062 | DONE | JP: '  ゆきの:ふん!' | EN: 'Yukino: ...'
495 | ID:1063 | TODO | JP: ' 美智子:わ ワタクシが' | EN: ''
496 | ID:1064 | TODO | JP: 'ま 莫けるなんて!' | EN: ''
497 | ID:1065 | TODO | JP: 'こんな 人間鳳惰に…' | EN: ''
498 | ID:1066 | DONE | JP: ' 南茱:やかましい女だ' | EN: 'Nanjo: What an obnoxious woman.'
499 | ID:1067 | TODO | JP: '手達が莫け 俺運が勝ったのは' | EN: ''
500 | ID:1068 | TODO | JP: '岡げようのない 現実' | EN: ''
501 | ID:1069 | TODO | JP: 'いや 消えてくれ' | EN: ''
502 | ID:1070 | TODO | JP: '葺 理由もなく' | EN: ''
503 | ID:1071 | TODO | JP: 'か弱いワタクシを 菷り' | EN: ''
504 | ID:1072 | TODO | JP: 'そんなワタクシにやさしく' | EN: ''
505 | ID:1073 | DONE | JP: ' 南茱:それは…全面吋に' | EN: 'Nanjo: That is... while your pain may be real,'
506 | ID:1074 | TODO | JP: '本当に あなた…' | EN: ''
507 | ID:1075 | TODO | JP: 'かなり おかしいですわ…' | EN: ''
508 | ID:1076 | TODO | JP: 'この 痕なしでは' | EN: ''
509 | ID:1077 | TODO | JP: 'まだ ワタクシを' | EN: ''
510 | ID:1078 | TODO | JP: 'もう よろしくってよ!!' | EN: ''
511 | ID:1079 | TODO | JP: '今 冉び時をへて梼ちた時!' | EN: ''
512 | ID:1080 | TODO | JP: 'ワタクシは アンタ運に' | EN: ''
513 | ID:1081 | TODO | JP: '2茴 手に入れた' | EN: ''
514 | ID:1082 | TODO | JP: '  ゆきの:松乎 美智子…' | EN: ''
515 | ID:1083 | TODO | JP: 'できれば もう二痍と' | EN: ''
516 | ID:1084 | TODO | JP: '黠局 鍵なんて' | EN: ''
517 | ID:1085 | TODO | JP: 'さ 帰ろう!' | EN: ''
518 | ID:1086 | TODO | JP: 'ネメシスの塔 を' | EN: ''
519 | ID:1087 | DONE | JP: '     塔に入った時息で' | EN: 'Two towers remaining!'
520 | ID:1088 | DONE | JP: '  ゆきの:いきなり' | EN: 'Yukino: ...'
521 | ID:1089 | DONE | JP: '   ???:やっほ{204}!' | EN: '???: Yahoo~!'
522 | ID:1090 | TODO | JP: '｜山本 巨合子』ちゃん' | EN: ''
523 | ID:1091 | DONE | JP: '  南茱:何の定談だ?' | EN: 'Nanjo: What manner of joke is this?'
524 | ID:1092 | TODO | JP: '手達 もっと' | EN: ''
525 | ID:1093 | TODO | JP: 'ほ ちゃ{204}ん!' | EN: ''
526 | ID:1094 | TODO | JP: 'ほ …違う' | EN: ''
527 | ID:1095 | TODO | JP: 'って 何なんだよ!テメ!' | EN: ''
528 | ID:1096 | TODO | JP: 'しかも しゃべり方変だしィ' | EN: ''
529 | ID:1097 | TODO | JP: 'あんた 超ヘン みたいな!' | EN: ''
530 | ID:1098 | TODO | JP: 'ほ よねぇ{204}!' | EN: ''
531 | ID:1099 | TODO | JP: 'ほ なんだ!?' | EN: ''
532 | ID:1100 | TODO | JP: 'ほ 手達 ココで' | EN: ''
533 | ID:1101 | TODO | JP: '一貰 交えようと言うのか?!' | EN: ''
534 | ID:1102 | TODO | JP: 'コワいこと言っちゃ イヤイヤ' | EN: ''
535 | ID:1103 | TODO | JP: 'じゃあ よく聞いてね' | EN: ''
536 | ID:1104 | TODO | JP: '講庄ぁ{204} なんちゃってぇ!' | EN: ''
537 | ID:1105 | TODO | JP: 'じゃあ ガンバって' | EN: ''
538 | ID:1106 | TODO | JP: 'にしても かなり' | EN: ''
539 | ID:1107 | TODO | JP: 'ゆきの:何だか 気持ち悪いね' | EN: ''
540 | ID:1108 | DONE | JP: '  ゆきの:クソぉッ!' | EN: 'Yukino: ...'
541 | ID:1109 | DONE | JP: '  アヤセ:何なのォ!?' | EN: 'Ayase: ...'
542 | ID:1110 | TODO | JP: 'あの 腹ワルそォな齟ォ?' | EN: ''
543 | ID:1111 | TODO | JP: '超 人生ナメてるッて' | EN: ''
544 | ID:1112 | DONE | JP: '   南茱:まったく…' | EN: 'Yuriko: Ohoho, having a little team meeting?'
545 | ID:1113 | DONE | JP: '  ブラウン:なぁなぁ' | EN: 'Brown: ...'
546 | ID:1114 | DONE | JP: '   エリ{204}:あのYurikoと' | EN: 'The candles hold the key to the seal!'
547 | ID:1115 | TODO | JP: 'するコトを Trapに' | EN: ''
548 | ID:1116 | DONE | JP: ' ゆきの:ウゥッ?!' | EN: 'Yukino: ...'
549 | ID:1117 | TODO | JP: 'ほ だい?' | EN: ''
550 | ID:1118 | TODO | JP: 'ほ から' | EN: ''
551 | ID:1119 | TODO | JP: 'ほ く' | EN: ''
552 | ID:1120 | DONE | JP: ' 巨合子:や{204}いや{204}い' | EN: 'Yuriko: Yay, yaaay~!'
553 | ID:1121 | TODO | JP: 'じゃ たしかに' | EN: ''
554 | ID:1122 | TODO | JP: 'ほ もらったよ{204}ん' | EN: ''
555 | ID:1123 | DONE | JP: ' ゆきの:チックショウ!' | EN: 'Yukino: ...'
556 | ID:1124 | DONE | JP: '   ロウソクの米を消しますか?' | EN: 'Will you extinguish the candle flame?'
557 | ID:1125 | DONE | JP: ' このロウソクの米を' | EN: 'Elly: Yuriko, stop playing these games.'
558 | ID:1126 | TODO | JP: 'ロウソクに 米はついていない' | EN: ''
559 | ID:1127 | TODO | JP: ' ロウソクに 米がついている' | EN: ''
560 | ID:1128 | DONE | JP: '  どちらかのロウソクの' | EN: 'Its flame burns with pure cerulean light.'
561 | ID:1129 | DONE | JP: '  扉はもう自由に闢く' | EN: "Are you sure she's not tricking us again?"
562 | ID:1130 | DONE | JP: '   扉を闢きますか?' | EN: 'Nanjo: Examine the runic inscriptions beneath the altar.'
563 | ID:1131 | TODO | JP: 'みそ  うおべはなァ{204}んて' | EN: ''
564 | ID:1132 | DONE | JP: '  ゆきの:あからさまに' | EN: 'Yukino: ...'
565 | ID:1133 | TODO | JP: '同じようにワナだね きっと' | EN: ''
566 | ID:1134 | TODO | JP: '  巨合子:あ{204}んひどい ひどい' | EN: ''
567 | ID:1135 | TODO | JP: 'せっかくぅ 巨合子が' | EN: ''
